ReminderId,response
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,0
339,1
340,1
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,1
372,1
373,1
374,0
375,0
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,0
428,0
429,1
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,0
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,1
496,0
497,0
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,1
528,1
529,1
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,0
550,1
551,1
552,1
553,1
554,1
555,0
556,1
557,0
558,0
559,1
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,0
619,1
620,1
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,0
629,0
630,1
631,0
632,1
633,0
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,1
643,1
644,0
645,1
646,1
647,0
648,1
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,1
697,0
698,0
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,0
710,0
711,1
712,0
713,1
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,1
729,1
730,1
731,1
732,0
733,0
734,0
735,1
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,0
762,0
763,1
764,0
765,1
766,0
767,1
768,0
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,0
781,1
782,1
783,1
784,0
785,1
786,0
787,1
788,0
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,1
806,1
807,0
808,0
809,0
810,0
811,1
